initial,pulse,tau,state,real,imag,probability
"|0,01>",atom_pi_1,0.16352201257861637,"|0,01>",0.9672129287636094,9.77699461558438e-06,0.9355008496630687
"|0,01>",atom_pi_1,0.16352201257861637,"|r,01>",-0.00011354487836901299,-0.2537276324160421,0.0643777243438896
"|0,01>",atom_pi_1,0.16352201257861637,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.16352201257861637,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.169811320754717,"|0,01>",0.9646593237421777,1.0941774739179268e-05,0.930567611002438
"|0,01>",atom_pi_1,0.169811320754717,"|r,01>",-0.00012231098729698395,-0.2632324842912372,0.06929135574611406
"|0,01>",atom_pi_1,0.169811320754717,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.169811320754717,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.17610062893081763,"|0,01>",0.9620119584431579,1.21946902849998e-05,0.9254670083363506
"|0,01>",atom_pi_1,0.17610062893081763,"|r,01>",-0.00013138708723679158,-0.272708768826306,0.0743700898573263
"|0,01>",atom_pi_1,0.17610062893081763,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.17610062893081763,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.18238993710691825,"|0,01>",0.9592711201579696,1.3538792496894094e-05,0.9202010821524245
"|0,01>",atom_pi_1,0.18238993710691825,"|r,01>",-0.00014077089238064707,-0.2821554605427835,0.07961172373055442
"|0,01>",atom_pi_1,0.18238993710691825,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.18238993710691825,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.18867924528301888,"|0,01>",0.9564371062916349,1.4977109648888709e-05,0.9147719385158299
"|0,01>",atom_pi_1,0.18867924528301888,"|r,01>",-0.00015046003849020882,-0.29157153749020237,0.08501398411262366
"|0,01>",atom_pi_1,0.18867924528301888,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.18867924528301888,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.1949685534591195,"|0,01>",0.9535102243273246,1.6512646272795883e-05,0.9091817481694122
"|0,01>",atom_pi_1,0.1949685534591195,"|r,01>",-0.00016045208339331352,-0.3009559813676055,0.09057452846580957
"|0,01>",atom_pi_1,0.1949685534591195,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.1949685534591195,"|1,10>",0.0,0.0,0.0
